#£[0-9]+bn	£[0-9]+bn	DT	DET
self-abuse	self-abuse	NN	NOUN
self-cutting	self-cutting	_	_
self-harm	self-harm	NN	NOUN
self-harmed	self-harm	VB	VERB
self-harmer	self-harmer	NN	NOUN
self-harming	self-harming	_	_
self-hitting	self-hitting	_	_
self-immolating	self-immolating	_	_
self-immolation	self-immolation	NN	NOUN
self-imolating	self-immolating	_	_
self-imolation	self-immolation	NN	NOUN
self-injuries	self-injury	NN	NOUN
self-injurious	self-injurious	JJ	ADJ
self-injure	self-injure	VB	VERB
self-injury	self-injury	NN	NOUN
self-laceration	self-laceration	NN	NOUN
self-mutilation	self-mutilation	NN	NOUN
self-poisoning	self-poisoning	_	_
